PAIS,PROXIMO,CONHEC.,DESCON.
Noruega,35.8,71.4,104.2
Ucrania,39.81,64.76,85.53
Argentina,40.2,59.1,76.52
Alemanha,41.43,69.87,96.23
Italia,41.55,68.2,93.23
Eslovaquia,42.4,67.04,88.84
Bulgaria,43.14,63.92,81.37
Servia,43.43,65.9,91.62
Peru,43.73,62.55,79.61
Grecia,44.68,68.3,91.28
Malasia,45.25,76.77,111.31
Russia,46.25,73.3,89.11
Portugal,46.55,76.59,110.58
Romenia,47.14,94.64,139.64
Cazaquistao,47.67,67.17,93.83
EUA,47.74,68.73,95.38
Polonia,48.46,66.54,96.68
Austria,50.7,68.00,88.1
Brasil,54.04,78.00,101.21
Gana,54.95,82.33,106.8
Reino Unido,56.00,80.8,99.4
Paquistao,56.32,90.88,119.52
Rep. Tcheca,56.65,81.32,110.9
Quenia,57.45,89.15,110.85
China,57.65,83.53,115.8
Turquia,58.11,92.89,123.07
India,58.46,87.22,110.1
Ira,59.18,83.86,112.72
Colombia,60.8,85.6,117.4
Espanha,61.17,81.26,98.5
Nigeria,62.16,81.23,102.95
Indonesia,65.00,85.87,110.22
Mexico,65.82,83.16,99.37
Coreia Sul,66.00,84.6,105.6
Uganda,66.24,101.72,121.51
Hong Kong,69.8,87.2,116.00
Estonia,69.93,94.9,118.39
Suica,73.97,93.18,110.5
Canada,74.54,85.47,103.24
Croacia,76.16,89.61,108.86
Hungria,83.29,108.86,130.72
Arabia Saudita,97.47,105.15,126.87
